original_language,original_title,popularity,release_date,vote_average,vote_count,runtime_minutes,genres,averagerating,numvotes
en,Killers,10.221,6,5.8,1314,100.0,"Action,Comedy,Romance",5.4,82237
en,Killers,10.221,6,5.8,1314,137.0,"Action,Crime,Drama",6.5,4472
en,You Again,10.208,9,6.2,734,105.0,"Comedy,Family,Romance",5.8,46690
en,Devil,10.203,9,5.9,1516,80.0,"Horror,Mystery,Thriller",6.2,122080
en,The Losers,10.202,4,6.2,844,97.0,"Action,Adventure,Crime",6.4,83876
en,The Losers,10.202,4,6.2,844,112.0,Drama,1.7,70
en,Animal Kingdom,10.188,8,6.8,399,113.0,"Crime,Drama",7.3,51576
en,Wall Street: Money Never Sleeps,10.177,9,6.0,797,133.0,Drama,6.2,93486
en,Monsters,10.175,10,6.2,848,94.0,"Drama,Sci-Fi,Thriller",6.4,84332
en,Monsters,1.122,10,7.4,5,94.0,"Drama,Sci-Fi,Thriller",6.4,84332
en,Hot Tub Time Machine,10.15,3,6.0,1383,101.0,"Comedy,Sci-Fi",6.4,153962
en,Love & Other Drugs,10.09,11,6.9,2509,112.0,"Comedy,Drama,Romance",6.7,167680
en,Never Let Me Go,10.012,9,6.8,1294,103.0,"Drama,Romance,Sci-Fi",7.1,130084
en,It's Kind of a Funny Story,10.01,10,7.0,1324,101.0,"Comedy,Drama,Romance",7.1,125583
en,Eat Pray Love,9.991,8,6.0,1208,133.0,"Drama,Romance",5.8,77709
en,Sex and the City 2,9.986,5,5.9,809,146.0,"Comedy,Drama,Romance",4.4,69199
en,Four Lions,9.968,11,7.0,621,97.0,"Comedy,Crime,Drama",7.3,66209
en,When in Rome,9.926,1,5.9,703,91.0,"Comedy,Romance",5.6,57396
en,The Bounty Hunter,9.861,3,5.7,1627,110.0,"Action,Comedy,Romance",5.6,112444
en,Winter's Bone,9.824,6,6.9,931,100.0,"Drama,Mystery",7.2,127751
en,Waiting for Forever,9.819,2,5.7,172,95.0,"Comedy,Drama,Romance",6.0,19223
en,My Soul to Take,9.808,10,5.4,247,107.0,"Horror,Mystery,Thriller",4.8,18381
en,A Nightmare on Elm Street,9.795,4,5.5,1408,95.0,"Crime,Drama,Horror",5.2,85497
en,Flipped,9.781,8,7.4,859,90.0,"Comedy,Drama,Romance",7.7,74937
en,Flipped,9.781,8,7.4,859,90.0,"Drama,Thriller",6.0,440
en,Flipped,0.962,12,7.0,2,90.0,"Comedy,Drama,Romance",7.7,74937
en,Flipped,0.962,12,7.0,2,90.0,"Drama,Thriller",6.0,440
en,Let Me In,9.716,10,6.7,1061,116.0,"Drama,Fantasy,Horror",7.1,107012
en,Let Me In,9.716,10,6.7,1061,74.0,Horror,5.1,7
en,Let Me In,0.675,6,7.0,2,116.0,"Drama,Fantasy,Horror",7.1,107012
en,Let Me In,0.675,6,7.0,2,74.0,Horror,5.1,7
en,Unthinkable,9.693,6,6.7,623,97.0,"Crime,Drama,Thriller",7.1,80152
