original_title,studio,foreign_gross,release_date,production_budget,domestic_gross,worldwide_gross
Just Wright,FoxS,29900,2010-05-14,12000000.0,21540363.0,21867665.0
Our Family Wedding,FoxS,1200000,2010-03-12,14000000.0,20255281.0,21410546.0
My Soul to Take,Uni.,6200000,2010-10-08,25000000.0,14744435.0,16727470.0
"I Love You, Phillip Morris",RAtt.,18700000,2010-12-03,13000000.0,2037459.0,23014027.0
Country Strong,SGem,310000,2010-12-22,15000000.0,20218921.0,20601987.0
Another Year,SPC,16500000,2010-12-29,8000000.0,3205706.0,20005613.0
Youth in Revolt,W/Dim.,4400000,2010-01-08,18000000.0,15285588.0,19685588.0
Buried,LGF,18100000,2010-09-24,1987650.0,1044143.0,21270290.0
[Rec] 2,Magn.,18500000,2010-07-09,5600000.0,27766.0,18527766.0
Repo Men,Uni.,4600000,2010-03-19,32000000.0,13942007.0,18195238.0
Soul Kitchen,IFC,17600000,2010-08-20,4900000.0,276901.0,23347461.0
Micmacs,SPC,15100000,2010-05-28,42000000.0,1259693.0,11756922.0
The Nutcracker in 3D,Free,16000000,2010-11-24,90000000.0,195459.0,20466016.0
Sea Rex 3D: Journey to a Prehistoric World,3D,9900000,2010-05-28,5000000.0,6096582.0,16515203.0
Extraordinary Measures,CBS,3100000,2010-01-22,31000000.0,12482741.0,15826984.0
Somewhere,Focus,12200000,2010-12-22,7000000.0,1785645.0,17023121.0
Winter's Bone,RAtt.,7300000,2010-06-11,2000000.0,6531503.0,16131551.0
The Last Station,SPC,6900000,2010-01-15,18000000.0,6617867.0,15696146.0
Made in Dagenham,SPC,11300000,2010-11-19,8000000.0,1095369.0,15644196.0
Blue Valentine,Wein.,2600000,2010-12-29,1000000.0,9737892.0,16566240.0
Chloe,SPC,8600000,2010-03-26,13000000.0,3075255.0,11831131.0
The Warrior's Way,Rela.,5400000,2010-12-03,42000000.0,5666340.0,8514325.0
Jonah Hex,WB,356000,2010-06-18,47000000.0,10547117.0,11022696.0
Harry Brown,Gold.,8500000,2010-04-30,7300000.0,1818681.0,12023606.0
Cyrus,FoxS,2500000,2010-06-18,7000000.0,7468936.0,10062896.0
Conviction,FoxS,2900000,2010-10-15,12500000.0,6797696.0,11826980.0
Get Low,SPC,518000,2010-07-30,7000000.0,9176933.0,10828305.0
Stone,Over.,7700000,2010-10-08,22000000.0,1810078.0,4065020.0
Never Let Me Go,FoxS,7000000,2010-09-15,15000000.0,2434652.0,11173718.0
MacGruber,Uni.,797000,2010-05-21,10000000.0,8525600.0,8629895.0
City Island,Anch.,1200000,2010-03-19,6000000.0,6671283.0,8173486.0
Inside Job,SPC,3600000,2010-10-08,2000000.0,4311834.0,7799257.0
The Joneses,RAtt.,5500000,2010-04-16,10000000.0,1475746.0,3541565.0
Centurion,Magn.,6700000,2010-08-27,15000000.0,123570.0,7885048.0
Animal Kingdom,SPC,5700000,2010-08-13,4200000.0,1044039.0,8078683.0
Nowhere Boy,Wein.,5100000,2010-10-08,1900000.0,1445366.0,7785229.0
It's Kind of a Funny Story,Focus,128000,2010-10-08,8000000.0,6363628.0,6632950.0
Solitary Man,Anch.,818000,2010-05-21,12500000.0,4360548.0,4360548.0
Rabbit Hole,LGF,2900000,2010-12-17,5000000.0,2229058.0,6205034.0
Mother and Child,SPC,3900000,2010-05-07,7000000.0,1110509.0,6537179.0
The Runaways,App.,1100000,2010-03-19,9500000.0,3573673.0,5278632.0
Four Lions,Drft.,4400000,2010-11-05,3750000.0,310007.0,2436111.0
Please Give,SPC,280000,2010-04-30,3000000.0,4033574.0,4570178.0
Monsters,Magn.,4000000,2010-10-29,500000.0,237301.0,5639730.0
The Killer Inside Me,IFC,3800000,2010-06-18,13000000.0,217277.0,3617277.0
The Perfect Game,IW,2800000,2010-04-16,12500000.0,1089445.0,3931367.0
To Save a Life,Gold.,45800,2010-01-22,500000.0,3777210.0,3824868.0
Wild Target,Free,3300000,2010-10-29,8000000.0,109338.0,5314194.0
Kites,Relbig.,1300000,2010-05-21,9200000.0,1685269.0,17155193.0
Letters to God,Viv.,60300,2010-04-09,3000000.0,2848587.0,3237452.0
Fish Tank,IFC,2000000,2010-01-15,3000000.0,374675.0,5922292.0
Housefull,Eros,1200000,2010-04-30,10100000.0,1183658.0,18726300.0
After.Life,Anch.,1900000,2010-04-09,4500000.0,108596.0,2481925.0
Ondine,Magn.,1100000,2010-06-04,12000000.0,550472.0,557545.0
The City of Your Final Destination,Scre.,859000,2010-04-16,8300000.0,493296.0,1353296.0
It's a Wonderful Afterlife,UTV,1300000,2010-10-08,10000000.0,0.0,1642939.0
Ajami,Kino,669000,2010-02-03,1000000.0,621859.0,2721096.0
Casino Jack,ATO,40700,2010-12-17,12500000.0,2039869.0,2272186.0
Leaves of Grass,First,949000,2010-04-02,9000000.0,70066.0,85527.0
Carlos,IFC,726000,2010-10-15,18000000.0,145526.0,1619153.0
The Disappearance of Alice Creed,Anch.,701000,2010-08-06,1500000.0,166980.0,1605139.0
Life During Wartime,IFC,487000,2010-07-23,4500000.0,281447.0,281447.0
Enter the Void,IFC,418000,2010-09-24,16000000.0,337997.0,1467278.0
The Secret of Kells,GK,62700,2010-03-05,8000000.0,690290.0,3582797.0
All Good Things,Magn.,62500,2010-12-03,20000000.0,582024.0,873617.0
Chain Letter,NFC,447000,2010-10-01,3000000.0,205842.0,1022453.0
I Spit on Your Grave,Anch.,480000,2010-10-08,1750000.0,93051.0,1278471.0
