original_title,studio,foreign_gross,release_date,production_budget,domestic_gross,worldwide_gross
The Immigrant,Wein.,3800000,2014-05-16,16000000.0,2013456.0,7585011.0
Wish I Was Here,Focus,1900000,2014-07-18,6000000.0,3591299.0,6591365.0
Veronica Mars,WB,195000,2014-03-14,6000000.0,3322127.0,3485383.0
The Rover,A24,2100000,2014-06-13,8500000.0,1109199.0,3180252.0
Jackpot,DR,1100000,2001-07-27,400000.0,44452.0,44452.0
Jurassic World,Uni.,"1,019.4",2015-06-12,215000000.0,652270625.0,1648854864.0
Furious 7,Uni.,"1,163.0",2015-04-03,190000000.0,353007020.0,1518722794.0
Avengers: Age of Ultron,BV,946400000,2015-05-01,330600000.0,459005868.0,1403013963.0
Minions,Uni.,823400000,2015-07-10,74000000.0,336045770.0,1160336173.0
Spectre,Sony,680600000,2015-11-06,300000000.0,200074175.0,879620923.0
Inside Out,BV,501100000,2015-06-19,175000000.0,356461711.0,854235992.0
The Hunger Games: Mockingjay - Part 2,LGF,371700000,2015-11-20,160000000.0,281723902.0,648986787.0
The Martian,Fox,401700000,2015-10-02,108000000.0,228433663.0,655271443.0
Fifty Shades of Grey,Uni.,404800000,2015-02-13,40000000.0,166167230.0,570998101.0
The Revenant,Fox,349300000,2015-12-25,135000000.0,183637894.0,532938302.0
Ant-Man,BV,339100000,2015-07-17,130000000.0,180202163.0,518858449.0
Hotel Transylvania 2,Sony,305100000,2015-09-25,80000000.0,169700110.0,469500298.0
San Andreas,WB (NL),318800000,2015-05-29,110000000.0,155190832.0,456258539.0
Terminator: Genisys,Par.,350800000,2015-07-01,155000000.0,89760956.0,432150894.0
Kingsman: The Secret Service,Fox,286100000,2015-02-13,94000000.0,128261724.0,404561724.0
Mad Max: Fury Road,WB,224800000,2015-05-15,150000000.0,153636354.0,370098020.0
The Good Dinosaur,BV,209100000,2015-11-25,187500000.0,123087120.0,333771037.0
Taken 3,Fox,237200000,2015-01-09,48000000.0,89256424.0,327656424.0
The SpongeBob Movie: Sponge Out of Water,Par.,162200000,2015-02-06,74000000.0,162994032.0,311013181.0
Maze Runner: The Scorch Trials,Fox,230600000,2015-09-18,61000000.0,81697192.0,310566162.0
The Divergent Series: Insurgent,LG/S,167100000,2015-03-20,110000000.0,130179072.0,295075882.0
Pitch Perfect 2,Uni.,103200000,2015-05-15,29000000.0,184296230.0,287625468.0
Paddington,W/Dim.,191800000,2015-01-16,55000000.0,76223578.0,258789097.0
The Peanuts Movie,Fox,116100000,2015-11-06,99000000.0,130178411.0,250091610.0
Pixels,Sony,166100000,2015-07-24,90000000.0,78765986.0,244041804.0
Alvin and the Chipmunks: The Road Chip,Fox,148900000,2015-12-18,90000000.0,85886987.0,249517956.0
Ted 2,Uni.,135200000,2015-06-26,68000000.0,81476385.0,217214143.0
Tomorrowland,BV,115700000,2015-05-22,170000000.0,93436322.0,206627518.0
Straight Outta Compton,Uni.,40400000,2015-08-14,28000000.0,161197785.0,202182981.0
The Intern,WB,118800000,2015-09-25,40000000.0,75764672.0,197115710.0
Jupiter Ascending,WB,136600000,2015-02-06,179000000.0,47482519.0,181982519.0
Creed,WB (NL),63800000,2015-11-25,37000000.0,109767581.0,173567581.0
Fantastic Four,Fox,111900000,2015-08-07,120000000.0,56117548.0,167849187.0
Fantastic Four,Fox,111900000,2005-07-08,87500000.0,154696080.0,333132750.0
Bridge of Spies,BV,93200000,2015-10-16,40000000.0,72313754.0,162498338.0
The Hateful Eight,Wein.,101600000,2015-12-25,62000000.0,54117416.0,147864886.0
Goosebumps,Sony,70100000,2015-10-16,58000000.0,80069458.0,158905324.0
The Last Witch Hunter,LG/S,119600000,2015-10-23,80000000.0,27367660.0,130818912.0
Trainwreck,Uni.,30600000,2015-07-17,35000000.0,110212700.0,141123897.0
The Big Short,Par.,63200000,2015-12-11,28000000.0,70259870.0,133162752.0
Pan,WB,93300000,2015-10-09,150000000.0,35088320.0,151525973.0
Magic Mike XXL,WB,56500000,2015-07-01,14500000.0,66013057.0,123660597.0
Seventh Son,Uni.,97000000,2015-02-06,95000000.0,17725785.0,108874967.0
Insidious Chapter 3,Focus,60800000,2015-06-05,10000000.0,52218558.0,120453155.0
Get Hard,WB,21400000,2015-03-27,40000000.0,90411453.0,106511453.0
The Man From U.N.C.L.E.,WB,64400000,2015-08-14,75000000.0,45445109.0,104949584.0
Paul Blart: Mall Cop 2,Sony,36600000,2015-04-17,38000000.0,71091594.0,107650646.0
Sisters,Uni.,18000000,2015-12-18,30000000.0,87044645.0,106030660.0
Vacation,WB (NL),46000000,2015-07-29,31000000.0,58884188.0,102306500.0
Chappie,Sony,70500000,2015-03-06,49000000.0,31569268.0,105002056.0
Joy,Fox,44700000,2015-12-25,60000000.0,56451232.0,101134059.0
Black Mass,WB,37200000,2015-09-18,53000000.0,62575678.0,98837872.0
The Visit,Uni.,33200000,2015-09-11,5000000.0,65206105.0,98677816.0
Spotlight,ORF,53200000,2015-11-06,20000000.0,45055776.0,92088460.0
In the Heart of the Sea,WB,68900000,2015-12-11,100000000.0,25020758.0,89693309.0
Southpaw,Wein.,39500000,2015-07-24,30000000.0,52421953.0,94156456.0
The Second Best Exotic Marigold Hotel,FoxS,52900000,2015-03-06,10000000.0,33078266.0,90384306.0
Paper Towns,Fox,53500000,2015-07-24,12000000.0,32000304.0,85450484.0
Sicario,LGF,38000000,2015-09-18,30000000.0,46889293.0,84393749.0
Hitman: Agent 47,Fox,59900000,2015-08-21,35000000.0,22467450.0,82182803.0
The Wedding Ringer,SGem,15300000,2015-01-16,23000000.0,64460211.0,80171596.0
Paranormal Activity: The Ghost Dimension,Par.,60600000,2015-10-23,10000000.0,18297124.0,77959374.0
Crimson Peak,Uni.,43600000,2015-10-16,55000000.0,31090320.0,74966854.0
The Transporter Refueled,EC,56600000,2015-09-04,22000000.0,16029670.0,69698495.0
Run All Night,WB,45200000,2015-03-13,50000000.0,26461644.0,66961644.0
The Age of Adaline,LGF,23000000,2015-04-24,30000000.0,42629776.0,68984536.0
Unfriended,Uni.,31600000,2015-04-17,1000000.0,32789645.0,64364198.0
The Longest Ride,Fox,25500000,2015-04-10,34000000.0,37446117.0,63802928.0
Brooklyn,FoxS,23800000,2015-11-04,11000000.0,38322743.0,62076141.0
Woman in Gold,Wein.,28300000,2015-04-01,11000000.0,33307793.0,58586407.0
Krampus,Uni.,18800000,2015-12-04,15000000.0,42725475.0,61788393.0
The Walk,TriS,51000000,2015-09-30,35000000.0,10161183.0,61492104.0
The Perfect Guy,SGem,3200000,2015-09-11,18000000.0,57027435.0,60278166.0
No Escape,Wein.,27100000,2015-08-26,5000000.0,27288872.0,42844516.0
Sinister 2,Focus,25100000,2015-08-21,10000000.0,27740955.0,54104225.0
The Boy Next Door,Uni.,17000000,2015-01-23,4000000.0,36006065.0,53401938.0
The Night Before,Sony,9300000,2015-11-20,25000000.0,43035725.0,52427346.0
Hot Pursuit,WB (NL),17100000,2015-05-08,35000000.0,34580201.0,45671512.0
Entourage,WB,16900000,2015-06-03,30000000.0,32363404.0,46438538.0
Mortdecai,LGF,39600000,2015-01-23,60000000.0,7696134.0,30396134.0
"McFarland, USA",BV,1200000,2015-02-20,17000000.0,44480275.0,45707924.0
Still Alice,SPC,25100000,2015-01-16,5000000.0,18656400.0,41699612.0
The DUFF,LGF,9500000,2015-02-20,8500000.0,34030343.0,43528634.0
Legend,Uni.,41100000,1986-04-18,25000000.0,15502112.0,23506237.0
Legend,Uni.,41100000,2015-11-20,25000000.0,1872994.0,42425450.0
The Gallows,WB (NL),20200000,2015-07-10,100000.0,22764410.0,41656474.0
Love the Coopers,LGF,16100000,2015-11-13,18000000.0,26302731.0,42227490.0
The Lady in the Van,SPC,31400000,2016-01-15,6000000.0,10021175.0,42320503.0
Ricki and the Flash,TriS,14500000,2015-08-07,18000000.0,26839498.0,41166033.0
Carol,Wein.,27600000,2015-11-20,11800000.0,12711491.0,42843521.0
The Lazarus Effect,Rela.,12600000,2015-02-27,5000000.0,25801570.0,38359310.0
The Water Diviner,WB,34000000,2015-04-24,22500000.0,4200117.0,31054727.0
A Walk in the Woods,BG,8000000,2015-09-02,8000000.0,29499394.0,37119358.0
Ex Machina,A24,11400000,2015-04-10,13000000.0,25440971.0,38358392.0
Burnt,Wein.,23000000,2015-10-30,20000000.0,13651946.0,36773510.0
Room,A24,20700000,2015-10-16,13000000.0,14677674.0,36262783.0
Steve Jobs,Uni.,16700000,2015-10-09,30000000.0,17766658.0,35579007.0
Victor Frankenstein,Fox,28500000,2015-11-25,40000000.0,5775076.0,31124367.0
Project Almanac,Par.,10900000,2015-01-30,12000000.0,22348241.0,32909437.0
Self/Less,Focus,18200000,2015-07-10,26000000.0,12279691.0,33667319.0
American Ultra,LGF,12700000,2015-08-21,28000000.0,14439985.0,30295028.0
Aloha,Sony,5200000,2015-05-29,37000000.0,21052030.0,25387091.0
The 33,WB,12700000,2015-11-13,25000000.0,12227722.0,28400715.0
The Gunman,ORF,13500000,2015-03-20,40000000.0,10664749.0,18594227.0
Blackhat,Uni.,11600000,2015-01-16,70000000.0,8005980.0,19665004.0
Dope,ORF,480000,2015-06-19,7000000.0,17506470.0,18190831.0
While We're Young,A24,9700000,2015-03-27,10000000.0,7582065.0,17503828.0
Scouts Guide to the Zombie Apocalypse,Par.,12400000,2015-10-30,15000000.0,3703046.0,15554855.0
Suffragette,Focus,11300000,2015-10-23,14000000.0,4702420.0,34044909.0
Unfinished Business,Fox,4200000,2015-03-06,35000000.0,10219501.0,13214051.0
Do You Believe?,PFR,1400000,2015-03-20,2300000.0,12985600.0,14304931.0
Hot Tub Time Machine 2,Par.,767000,2015-02-20,14000000.0,12314651.0,12826644.0
Child 44,LG/S,11700000,2015-04-17,50000000.0,1224330.0,8004221.0
We Are Your Friends,WB,7500000,2015-08-28,2000000.0,3591417.0,10153415.0
Danny Collins,BST,5200000,2015-03-20,10000000.0,5637066.0,8465845.0
Shanghai,Wein.,9200000,2015-10-02,50000000.0,46425.0,15505922.0
Me and Earl and the Dying Girl,FoxS,2300000,2015-06-12,8000000.0,6758416.0,9266180.0
Anomalisa,Par.,1900000,2015-12-30,8000000.0,3759286.0,5706168.0
Trash,FCW,4800000,2015-10-09,12000000.0,17484.0,6553186.0
Escobar: Paradise Lost,RTWC,3600000,2015-06-26,17000000.0,195792.0,3917679.0
By the Sea,Uni.,2800000,2015-11-13,20000000.0,538460.0,3727746.0
Jem and the Holograms,Uni.,149000,2015-10-23,5000000.0,2184640.0,2368937.0
The D Train,IFC,102000,2015-05-08,3000000.0,669688.0,772366.0
Captain America: Civil War,BV,745200000,2016-05-06,250000000.0,408084349.0,1140069413.0
Rogue One: A Star Wars Story,BV,523900000,2016-12-16,200000000.0,532177324.0,1049102856.0
Finding Dory,BV,542300000,2016-06-17,200000000.0,486295561.0,1021215193.0
Zootopia,BV,682500000,2016-03-04,150000000.0,341268248.0,1019429616.0
The Secret Life of Pets,Uni.,507100000,2016-07-08,75000000.0,368384330.0,886750534.0
Batman v Superman: Dawn of Justice,WB,543300000,2016-03-25,250000000.0,330360194.0,867500281.0
Deadpool,Fox,420000000,2016-02-12,58000000.0,363070709.0,801025593.0
Suicide Squad,WB,421700000,2016-08-05,175000000.0,325100054.0,746059887.0
Doctor Strange,BV,445100000,2016-11-04,165000000.0,232641920.0,676404566.0
Moana,BV,394600000,2016-11-23,150000000.0,248757044.0,637517365.0
Sing,Uni.,363800000,2016-12-21,75000000.0,270329045.0,634454789.0
X-Men: Apocalypse,Fox,388500000,2016-05-27,178000000.0,155442489.0,542537546.0
Kung Fu Panda 3,Fox,377600000,2016-01-29,140000000.0,143528619.0,517599142.0
La La Land,LG/S,295000000,2016-12-09,20000000.0,151101803.0,426351163.0
Warcraft,Uni.,386300000,2016-06-10,160000000.0,47225655.0,425522281.0
Jason Bourne,Uni.,253100000,2016-07-29,120000000.0,162192920.0,416168316.0
Ice Age: Collision Course,Fox,344500000,2016-07-22,105000000.0,64063008.0,402156682.0
Independence Day: Resurgence,Fox,286500000,2016-06-24,165000000.0,103144286.0,384169424.0
The Legend of Tarzan,WB,230100000,2016-07-01,180000000.0,126643061.0,348902025.0
The Angry Birds Movie,Sony,244800000,2016-05-20,73000000.0,107509366.0,352327887.0
Trolls,Fox,193200000,2016-11-04,125000000.0,153707064.0,344150134.0
Star Trek Beyond,Par.,184600000,2016-07-22,185000000.0,158848340.0,335802233.0
Now You See Me 2,LG/S,269800000,2016-06-10,90000000.0,65075540.0,328325007.0
Dangal,UTV,290500000,2016-12-21,9500000.0,12391761.0,294654618.0
Alice Through the Looking Glass,BV,222400000,2016-05-27,170000000.0,77042381.0,276928112.0
Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,163600000,2016-06-03,135000000.0,82051601.0,245328374.0
Sully,WB,115700000,2016-09-09,60000000.0,125070033.0,238524556.0
Hidden Figures,Fox,66300000,2016-12-25,25000000.0,169607287.0,231771716.0
Inferno,Sony,185700000,2016-10-28,75000000.0,34343574.0,219519367.0
Central Intelligence,WB (NL),89500000,2016-06-17,50000000.0,127440871.0,217194805.0
Me Before You,WB (NL),152100000,2016-06-03,20000000.0,56245075.0,208265198.0
London Has Fallen,Focus,143200000,2016-03-04,60000000.0,62524260.0,195194085.0
Arrival,Par.,102800000,2016-11-11,47000000.0,100546139.0,203127894.0
Bad Moms,STX,70700000,2016-07-29,20000000.0,113257297.0,180998716.0
Storks,WB,110700000,2016-09-23,70000000.0,72679278.0,183353431.0
The BFG,BV,127900000,2016-07-01,140000000.0,55483770.0,199646680.0
The Divergent Series: Allegiant,LG/S,113100000,2016-03-18,110000000.0,66184051.0,172022517.0
Hacksaw Ridge,LGF,108100000,2016-11-04,40000000.0,67209615.0,168904682.0
Jack Reacher: Never Go Back,Par.,103400000,2016-10-21,60000000.0,58697076.0,159946489.0
The Accountant,WB,68900000,2016-10-14,40000000.0,86260045.0,152962083.0
Gods of Egypt,LG/S,119500000,2016-02-26,140000000.0,31153464.0,138836756.0
Lights Out,WB (NL),81600000,2016-07-22,5000000.0,67268835.0,148806510.0
Sausage Party,Sony,43000000,2016-08-12,19000000.0,97670358.0,141344255.0
Lion,Wein.,88600000,2016-11-25,12000000.0,51739495.0,149570720.0
Mechanic: Resurrection,LG/S,104500000,2016-08-26,40000000.0,21218403.0,109738840.0
Ride Along 2,Uni.,33400000,2016-01-15,40000000.0,90862685.0,124827316.0
Deepwater Horizon,LG/S,60400000,2016-09-30,156000000.0,61433527.0,122603824.0
Allied,Par.,79400000,2016-11-23,106000000.0,40098064.0,119266661.0
The Shallows,Sony,64000000,2016-06-24,13000000.0,55121623.0,118763442.0
The Purge: Election Year,Uni.,39400000,2016-07-01,10000000.0,79042440.0,118514727.0
Why Him?,Fox,57800000,2016-12-23,38000000.0,60323786.0,117425156.0
Office Christmas Party,Par.,59700000,2016-12-09,45000000.0,54767494.0,91323299.0
10 Cloverfield Lane,Par.,38100000,2016-03-11,5000000.0,72082999.0,108286422.0
The 5th Wave,Sony,75000000,2016-01-22,38000000.0,34912982.0,111336398.0
Neighbors 2: Sorority Rising,Uni.,52600000,2016-05-20,35000000.0,55340730.0,108757621.0
The Little Prince,EOne,96200000,2016-02-12,77500000.0,1311213.0,102028919.0
Dirty Grandpa,LGF,58500000,2016-01-22,11500000.0,35593113.0,105078449.0
Money Monster,TriS,52300000,2016-05-13,27000000.0,41012075.0,93466095.0
My Big Fat Greek Wedding 2,Uni.,29200000,2016-03-25,18000000.0,59689605.0,92096558.0
Collateral Beauty,WB (NL),57500000,2016-12-16,36000000.0,31016021.0,85309093.0
Sultan,Yash,81100000,2016-07-06,11000000.0,5599781.0,72989781.0
War Dogs,WB,43200000,2016-08-19,50000000.0,43034523.0,86234503.0
Nerve,LGF,46700000,2016-07-27,20000000.0,38583626.0,70652284.0
Ouija: Origin of Evil,Uni.,46600000,2016-10-21,9000000.0,35144505.0,81831866.0
Manchester by the Sea,RAtt.,31300000,2016-11-18,8500000.0,47695371.0,77733867.0
The Boss,Uni.,15600000,2016-04-08,29000000.0,63077560.0,78652207.0
Mike and Dave Need Wedding Dates,Fox,31100000,2016-07-08,33000000.0,46009673.0,75898100.0
Miracles from Heaven,TriS,12200000,2016-03-16,13000000.0,61705123.0,73798736.0
Kubo and the Two Strings,Focus,21900000,2016-08-19,55000000.0,48023088.0,77548122.0
13 Hours: The Secret Soldiers of Benghazi,Par.,16600000,2016-01-15,50000000.0,52853219.0,69411370.0
Fences,Par.,6700000,2016-12-16,24000000.0,57682904.0,64282881.0
"Hail, Caesar!",Uni.,33100000,2016-02-05,22000000.0,30080225.0,64160680.0
The Nice Guys,WB,26500000,2016-05-20,50000000.0,36261763.0,59596747.0
Zoolander 2,Par.,27900000,2016-02-12,50000000.0,28848693.0,55348693.0
Barbershop: The Next Cut,WB (NL),1000000,2016-04-15,20000000.0,54030051.0,54404202.0
The Finest Hours,BV,24500000,2016-01-29,70000000.0,27569558.0,49252761.0
Patriots Day,LGF,18700000,2016-12-21,40000000.0,31886361.0,52837989.0
Florence Foster Jenkins,Par.,21500000,2016-08-12,29000000.0,27383770.0,56000339.0
A Monster Calls,Focus,43600000,2017-01-06,43000000.0,3740823.0,46414530.0
Eddie the Eagle,Fox,30400000,2016-02-26,23000000.0,15789389.0,45060480.0
Risen,Sony,9200000,2016-02-19,20000000.0,36880033.0,46255763.0
Blair Witch,LGF,24400000,2016-09-16,10000000.0,20777061.0,38985577.0
Almost Christmas,Uni.,422000,2016-11-11,17000000.0,42065185.0,42493506.0
The Witch,A24,15300000,2016-02-19,3500000.0,25138705.0,40454520.0
Hell or High Water,LGF,10900000,2016-08-12,12000000.0,27007844.0,37584304.0
The Forest,Focus,11000000,2016-01-08,10000000.0,26594261.0,40749230.0
Snowden,ORF,15700000,2016-09-16,50000000.0,21587519.0,35380918.0
When the Bough Breaks,SGem,911000,2016-09-09,10000000.0,29747603.0,30768449.0
Nocturnal Animals,Focus,19600000,2016-11-18,22500000.0,10663357.0,32398681.0
The Light Between Oceans,BV,13400000,2016-09-02,20000000.0,12545979.0,22281732.0
The Brothers Grimsby,Sony,18300000,2016-03-11,35000000.0,6864016.0,28720470.0
Free State of Jones,STX,4200000,2016-06-24,50000000.0,20810036.0,23237252.0
Middle School: The Worst Years of My Life,LGF,3300000,2016-10-07,8500000.0,20007149.0,23311293.0
Triple 9,ORF,10500000,2016-02-26,20000000.0,12639297.0,25943792.0
Fifty Shades of Black,ORF,10500000,2016-01-29,5000000.0,11686940.0,22113075.0
The Edge of Seventeen,STX,4400000,2016-11-18,9000000.0,14431633.0,19096003.0
Regression,W/Dim.,17600000,2015-10-30,20000000.0,55039.0,15824374.0
Hardcore Henry,STX,7600000,2016-04-08,2000000.0,9252038.0,17187434.0
Pride and Prejudice and Zombies,SGem,5500000,2016-02-05,28000000.0,10907291.0,16638300.0
The Other Side of the Door,Fox,11300000,2016-03-04,5000000.0,3000342.0,12905107.0
Shut In,EC,6200000,2016-11-11,10000000.0,6900335.0,11360665.0
Loving,Focus,5200000,2016-11-04,9000000.0,7710234.0,12898064.0
The Man Who Knew Infinity,IFC,8400000,2016-04-29,10000000.0,3877922.0,12382122.0
The Perfect Match,LGF,745000,2016-03-11,5000000.0,9669521.0,10182050.0
Queen of Katwe,BV,1500000,2016-09-23,15000000.0,8874389.0,10055481.0
Miss Sloane,EC,5600000,2016-11-25,18000000.0,3500605.0,7719630.0
Morgan,Fox,4900000,2016-09-02,8000000.0,3915251.0,7298786.0
Incarnate,BH Tilt,1500000,2016-12-02,5000000.0,4799774.0,9371036.0
Max Steel,ORF,2500000,2016-10-14,10000000.0,3818664.0,4563080.0
Midnight Special,WB,2500000,2016-03-18,18000000.0,3712282.0,7680250.0
Genius,RAtt.,4300000,2016-06-10,17000000.0,1361045.0,7265283.0
American Honey,A24,1200000,2016-09-30,3500000.0,663247.0,2611750.0
The Fate of the Furious,Uni.,"1,010.0",2017-04-14,250000000.0,225764765.0,1234846267.0
Despicable Me 3,Uni.,770200000,2017-06-30,75000000.0,264624300.0,1034727750.0
Jumanji: Welcome to the Jungle,Sony,557600000,2017-12-20,90000000.0,404508916.0,964496193.0
Spider-Man: Homecoming,Sony,546000000,2017-07-07,175000000.0,334201140.0,880166350.0
Thor: Ragnarok,BV,538900000,2017-11-03,180000000.0,315058289.0,846980024.0
Wonder Woman,WB,409300000,2017-06-02,150000000.0,412563408.0,821133378.0
Coco,BV,597400000,2017-11-22,175000000.0,209726015.0,798008101.0
Pirates of the Caribbean: Dead Men Tell No Tales,BV,622300000,2017-05-26,230000000.0,172558876.0,788241137.0
It,WB (NL),372900000,2017-09-08,35000000.0,327481748.0,697457969.0
Justice League,WB,428900000,2017-11-17,300000000.0,229024295.0,655945209.0
Transformers: The Last Knight,Par.,475300000,2017-06-21,217000000.0,130168683.0,602893340.0
Kong: Skull Island,WB,398600000,2017-03-10,185000000.0,168052812.0,561072059.0
The Boss Baby,Fox,353000000,2017-03-31,125000000.0,175003033.0,510878762.0
Dunkirk,WB,337200000,2017-07-21,150000000.0,190068280.0,499837368.0
War for the Planet of the Apes,Fox,343800000,2017-07-14,152000000.0,146880162.0,489592267.0
The Greatest Showman,Fox,260700000,2017-12-20,84000000.0,174340174.0,386665550.0
Kingsman: The Golden Circle,Fox,310700000,2017-09-22,104000000.0,100234838.0,408803696.0
Cars 3,BV,231000000,2017-06-16,175000000.0,152901115.0,383541369.0
Fifty Shades Darker,Uni.,267000000,2017-02-10,55000000.0,114434010.0,381398492.0
The Great Wall,Uni.,289400000,2017-02-17,150000000.0,45157105.0,334486852.0
Resident Evil: The Final Chapter,SGem,285400000,2017-01-27,40000000.0,26844692.0,314101190.0
Annabelle: Creation,WB (NL),204400000,2017-08-11,15000000.0,102092201.0,305384865.0
Wonder,LGF,173500000,2017-11-17,20000000.0,132422809.0,304604712.0
Ferdinand,Fox,211700000,2017-12-15,111000000.0,84410380.0,289847930.0
Split,Uni.,140200000,2017-01-20,5000000.0,138141585.0,278964806.0
Blade Runner 2049,WB,167200000,2017-10-06,185000000.0,92054159.0,259357408.0
Get Out,Uni.,79400000,2017-02-24,5000000.0,176040665.0,255367951.0
Baahubali 2: The Conclusion,GrtIndia,234000000,2017-04-28,30000000.0,18985794.0,263502914.0
Alien: Covenant,Fox,166600000,2017-05-19,97000000.0,74262031.0,238521247.0
Baby Driver,TriS,119100000,2017-06-28,34000000.0,107825862.0,228104185.0
Valerian and the City of a Thousand Planets,STX,184700000,2017-07-21,180000000.0,40479370.0,215098356.0
Geostorm,WB,187900000,2017-10-20,100000000.0,33700160.0,220796009.0
The Emoji Movie,Sony,131699999,2017-07-28,50000000.0,86089513.0,216562312.0
Smurfs: The Lost Village,Sony,152200000,2017-04-07,60000000.0,45020282.0,197578586.0
The Shape of Water,FoxS,131400000,2017-12-01,19500000.0,63859435.0,195790794.0
Pitch Perfect 3,Uni.,80500000,2017-12-22,45000000.0,104897530.0,185736412.0
The Post,Fox,97900000,2017-12-22,50000000.0,81903458.0,179748880.0
Baywatch,Par.,119800000,2017-05-25,60000000.0,58060186.0,175863783.0
John Wick: Chapter Two,LG/S,79500000,2017-02-10,40000000.0,92029184.0,171350009.0
"Three Billboards Outside Ebbing, Missouri",FoxS,104700000,2017-11-10,12000000.0,54513740.0,160191915.0
Darkest Hour,Focus,94400000,2017-11-22,30000000.0,56443120.0,150807172.0
King Arthur: Legend of the Sword,WB,109500000,2017-05-12,175000000.0,39175066.0,139630336.0
The Foreigner,STX,111000000,2017-10-13,35000000.0,34393507.0,140783360.0
Girls Trip,Uni.,25400000,2017-07-21,28000000.0,115108515.0,140886353.0
American Made,Uni.,83500000,2017-09-29,50000000.0,51342000.0,135569212.0
A Bad Moms Christmas,STX,58400000,2017-11-01,28000000.0,72110659.0,127710550.0
Captain Underpants: The First Epic Movie,Fox,51600000,2017-06-02,38000000.0,73921000.0,126577874.0
Happy Death Day,Uni.,69800000,2017-10-13,5000000.0,55683845.0,125010260.0
The Dark Tower,Sony,62500000,2017-08-04,60000000.0,50701325.0,113461527.0
Jigsaw,LGF,64900000,2017-10-27,10000000.0,38052832.0,102445196.0
Atomic Blonde,Focus,48300000,2017-07-28,30000000.0,51573925.0,98345423.0
Rings,Par.,55300000,2017-02-03,25000000.0,27793018.0,82917283.0
Underworld: Blood Wars,SGem,50700000,2017-01-06,35000000.0,30353973.0,81209222.0
Lady Bird,A24,30000000,2017-11-03,10000000.0,48958273.0,78610769.0
American Assassin,LGF,31000000,2017-09-15,63000000.0,36249674.0,68310140.0
Victoria and Abdul,Focus,43200000,2017-09-22,21000000.0,22245070.0,68271146.0
The Nut Job 2: Nutty by Nature,ORF,36800000,2017-08-11,40000000.0,28370522.0,57438389.0
Monster Trucks,Par.,31100000,2017-01-13,125000000.0,33370166.0,61642798.0
The Star,Sony,22000000,2017-11-17,20000000.0,40847995.0,62758010.0
"Everything, Everything",WB,27500000,2017-05-19,10000000.0,34121140.0,61603136.0
Snatched,Fox,15000000,2017-05-12,42000000.0,45852178.0,57852177.0
The Big Sick,LGF,13500000,2017-06-23,5000000.0,42872467.0,53972860.0
Downsizing,Par.,30600000,2017-12-22,68000000.0,24449754.0,54462971.0
"I, Tonya",Neon,23900000,2017-12-08,11000000.0,30014534.0,53797409.0
Logan Lucky,BST,20700000,2017-08-18,29000000.0,27778642.0,44264271.0
Rough Night,Sony,25200000,2017-06-16,20000000.0,22105643.0,46844357.0
mother!,Par.,26700000,2017-09-15,30000000.0,17800004.0,42531076.0
The Snowman,Uni.,36400000,2017-10-20,35000000.0,6670765.0,43226146.0
Gifted,FoxS,18200000,2017-04-07,7000000.0,24801212.0,36964656.0
T2: Trainspotting,TriS,39300000,2017-03-17,18000000.0,2402004.0,42091262.0
Fist Fight,WB (NL),8900000,2017-02-17,25000000.0,32187017.0,40286416.0
Diary of a Wimpy Kid: The Long Haul,Fox,19400000,2017-05-19,22000000.0,20738724.0,35609577.0
The House,WB (NL),8600000,2017-06-30,40000000.0,25584504.0,31192425.0
The Disaster Artist,A24,8700000,2017-12-01,10000000.0,21120616.0,28717667.0
The Bye Bye Man,STX,4300000,2017-01-13,7400000.0,22395806.0,31187727.0
Father Figures,WB,8100000,2017-12-22,25000000.0,17501244.0,21038441.0
The Founder,Wein.,11300000,2017-01-20,15000000.0,12786053.0,24403192.0
The Lost City of Z,BST,10700000,2017-04-14,30000000.0,8574339.0,17121823.0
The Space Between Us,STX,6900000,2017-02-03,30000000.0,7885294.0,16481405.0
"Roman J. Israel, Esq.",Sony,1100000,2017-11-17,22000000.0,11962712.0,12967012.0
Stronger,RAtt.,4200000,2017-09-22,30000000.0,4211129.0,8786752.0
Tulip Fever,Wein.,5900000,2017-09-01,25000000.0,2455635.0,6792768.0
Just Getting Started,BG,1600000,2017-12-08,22000000.0,6069605.0,6756412.0
All Saints,Affirm,140000,2017-08-25,2000000.0,5802208.0,5941994.0
Table 19,FoxS,1400000,2017-03-03,5000000.0,3614896.0,4620399.0
Collide,ORF,2500000,2017-02-24,29200000.0,2280004.0,5466698.0
The Wall,RAtt.,2700000,2017-05-12,3000000.0,1803064.0,4495262.0
Patti Cake$,FoxS,682000,2017-08-18,1000000.0,800148.0,1471090.0
City of Ghosts,IFC,100000,2003-04-25,17500000.0,325491.0,325491.0
Avengers: Infinity War,BV,"1,369.5",2018-04-27,300000000.0,678815482.0,2048134200.0
Black Panther,BV,646900000,2018-02-16,200000000.0,700059566.0,1348258224.0
Jurassic World: Fallen Kingdom,Uni.,891800000,2018-06-22,170000000.0,417719760.0,1305772799.0
Incredibles 2,BV,634200000,2018-06-15,200000000.0,608581744.0,1242520711.0
Aquaman,WB,812700000,2018-12-21,160000000.0,335061807.0,1146894640.0
